"Processador","Memoria","Video","Classe"
"comum","\(1.5-5]\","0","unknown"
"alto","0","0","unknown"
"alto","0","0","unknown"
"alto","\(1.5-5]\","0","unknown"
"alto","\(0.5-1.5]\","0","unknown"
"alto","0","0","unknown"
"comum","\(1.5-5]\","0","unknown"
"alto","\(1.5-5]\","0","unknown"
"alto","0","0","unknown"
"alto","0","0","unknown"
"altissimo","\(-inf-1.5]\","0","unknown"
"altissimo","0","0","unknown"
"alto","0","0","unknown"
"","\(12-inf]\","1","unknown"
"comum","\(1.5-5]\","0","unknown"
"alto","\(1.5-5]\","0","unknown"
"altissimo","0","0","unknown"
"comum","\(1.5-5]\","0","unknown"
"alto","0","0","unknown"
"altissimo","\(12-inf]\","0","unknown"
"alto","0","0","unknown"
"alto","0","0","unknown"
"comum","0","0","unknown"
"","\(12-inf]\","1","unknown"
"alto","\(1.5-5]\","0","unknown"
"alto","0","0","unknown"
"comum","\(1.5-5]\","0","unknown"
"comum","\(1.5-5]\","0","unknown"
"comum","\(1.5-5]\","0","unknown"
"comum","\(1.5-5]\","0","unknown"
"alto","\(1.5-5]\","0","unknown"
"comum","\(1.5-5]\","0","unknown"
"","\(12-inf]\","1","unknown"
"comum","\(1.5-5]\","0","unknown"
"","\(12-inf]\","1","unknown"
"","\(12-inf]\","1","unknown"
"alto","\(1.5-5]\","0","unknown"
"alto","\(1.5-5]\","0","unknown"
"","0","1","unknown"
"comum","\(1.5-5]\","0","unknown"
